Type,Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
Bangalows,KIVGA HOLIDAY HOME,"4C/8 FIRST STAGE, MIHINDU MAWATHA, ANURADHAPURA",4,A,Anuradhapura,Anuradhapura,Anuradhapura East,80.416952,8.333752
Bangalows,VILLA SUNBIRD,"89B, WELLAMANKARAYA, OFF HUE FERNANDO MAWATHA, NAINAMADAMA",6,A,Puttalam,Polonnaruwa,Wennappuwa,79.837662,7.306926
Bangalows,COMILLA BUNGALOW,"""COMILLA WATHE"" 76/5, INDURUGALLA, WATHURUGAMA",3,A,Gampaha,Gampaha,Dompe,80.0942621,7.0566908
Bangalows,SANDELLE HOLIDAY RESORT,"4C/5, STAGE ONE, MIHINDU MAWATHA, ANURADHAPURA",6,B,Anuradhapura,Anuradhapura,Anuradhapura East,,
Bangalows,SACHAL MIR'S,"2-C, DUNGALPITIYA, THALAHENA, NEGAMBO",4,A,Gampaha,Negombo,Negombo,79.8311,7.152417
Bangalows,MISTY HILLS BOUTIQUE COTTAGE,"20/23,TOP PASS, KANDY ROAD, NUWARAELIYA.(VIA SANASA RESORT)",4,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,80.7458665,6.9906717
Bangalows,THE PIER,"NO 113/8B ,DUWAWATTA, ST PETER'S ROAD, KORALAWELLA. MORATUWA.",4,A,Colombo,Moratuwa,Moratuwa,79.888801,6.773335
Bangalows,SADULA HOLIDAY RESORT,"PULLAYAR JUNCTION, MIHINTHALE ROAD, ANURADHAPURA.",5,A,Anuradhapura,Anuradhapura,Anuradhapura East,80.4307097,8.3538076
Bangalows,NETH PIYASA,"04/85, BEKKEGAMA ROAD, WALANA, PANADURA.",3,A,Kalutara,Kalutara,Thanthirimulla,,
Bangalows,ST.ANNE S LAGOON HOUSE,"SOTHTHUPITIYA WADIYA, KALPITIYA ROAD, PALAKKUDA.",6,A,Puttalam,Kalpitiya,Kalpitiya,79.759615,8.229533
Bangalows,FOREST PARADISE GUEST HOME,"PASSARA ROAD, ELLA.",5,A,Badulla,Ella,Ella,81.05151,6.874164
Bangalows,MOUNT PLEASANT,"78, MISTY HILLS, WALAGEDARA, WATTAPALA, KADUGANNAWA.",3,B,Kandy,Kandy,Udunuwara,,
Bangalows,THE RANMIN BUNGALOW,"NO.9, TUDUWA, DAMPE, PILIYANDALA.",3,A,Colombo,Colombo,Colombo,79.918606,6.766099
Bangalows,GREEN GARDEN HOLIDAY BUNGALOW,"535/E , ANAGI MW, HORAGOLLA, NITTAMBUWA.",3,A,Gampaha,Gampaha,Gampaha,,
Bangalows,MATHUGAMA PIYASA,"KAJUGAHAWATTA, SAMAKANDA ROAD, MATHUGAMA.",3,B,Kalutara,Mathugama,Mathugama,,
Bangalows,CLOUDS,"64,LILY AVE, HAPUTALE.",5,A,Badulla,Haputale,Haputale,80.94992,6.7647
Bangalows,CASA BLANCO,"395/95, HILL CREST GREEN ,BOWALAWATTE, UDA PERADENIYA, KANDY.",4,A,Kandy,Kandy,Kandy,80.618416,7.254844
Bangalows,HORAKELLE ESTATE,"BLOCK NO 2, PALLIYAPITIYA, DUNAGAHA.",9,A,Gampaha,Gampaha,Gampaha,79.971366,7.251445
Bangalows,SHINE INN TOURIST BUNGALOW,"12/10, GANIHIMULLA,DEWALAPOLA.",1,B,Gampaha,Minuwangoda,Minuwangoda,,
Bangalows,ANKINDA LUXURIOUS VILLA,"293/11M, SURAMYA PLACE, GORAKAPOLA, PANADURA",4,A,Kalutara,Panadura,Panadura,79.904943,6.740224
Bangalows,SILVER BEACH HOTEL,"66/12, ALLES GARDEN, UPPUVELI,TRINCOMALEE",5,B,Trincomalee,Trincomalee,Trincomalee,81.218226,8.616767
Bangalows,HOTEL OCEAN PARK,"101,ALLES GARDEN, SAMPALTIVU,TRINCOMALEE",7,B,Trincomalee,Trincomalee,Trincomalee,,
Bangalows,RAMANATHAN COTTAGE,"848/A, VALAIYOOLHU,IRRAKKAKANDY, NILAVELI.",3,B,Trincomalee,Trincomalee,Trincomalee,,
Bangalows,SAMANPAYA HOLIDAY BUNGALOW,"HELAMUDUNA, BANDARAWELA.",4,A,Badulla,Bandarawela,Haputale,80.983702,6.842848
Bangalows,LE GRAND MEAULNES - FAMILY HOLIDAY BUNGALOW,"""GREEN PATH"", TRINCOMALEE RD,HABARANA.",3,A,Anuradhapura,Anuradhapura,Anuradhapura East,80.760551,8.048284
Bangalows,ABERDEEN RANGE HOLIDAY HOME,"RANJIRAWA, GINIGATHHENA",3,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,80.465755,6.996841
Bangalows,WASALA VILLAGE VIEW,"""WASALA"" , MULLE WATTA, ELLA GAMA, DIYATALAWA",5,A,Badulla,Haputale,Haputale,,
Bangalows,CLUB LESPRI,"322,TRANQUILITY, GALAHA ROAD, NILLAMBA",6,A,Kandy,Kandy,Kandy,80.639866,7.199854
Bangalows,BARAMBA,"NO.22,UPAL MAWATHA,PRIMROSE HILL,KANDY",3,A,Kandy,Kandy,Kandy,,
Bangalows,KOSALA BUNGALOW,"""KOSALA"" URANWELA,ELPITIYA.",4,B,Galle,Galle,Galle,,
Bangalows,BLUE LAGOON,"""BLUE LAGOON'WELLAWATTE,HIKKADUWA",3,A,Galle,Hikkaduwa,Hikkaduwa,80.101595,6.147039
Bangalows,SENANI COLONIAL HOLIDAY BUNGALOW,"NO.80,LADY MC CALUM DRIVE,HAWAELIYA,NUWARA ELIYA",4,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,80.776064,6.973548
Bangalows,RIVER SIDE INN FUJI,"81,CIRCULAR ROAD,OBADAWATTA,BENTOTA",4,A,Galle,Bentota,Benthota,80.007141,6.428151
Bangalows,ARANGA-LA,"NO.10,HOSPITAL ROAD,HOMAGAMA",3,A,Colombo,Homagama,Homagama,,
Bangalows,WESTROM VILLA,"ROBOLGODA, BENTOTA.",5,B,Galle,Bentota,Benthota,,
Bangalows,KANDY HOUSE,"NO 95,UPUL MAWATHA, ,5TH LANE,PRIMROSE GARDEN,KANDY",2,A,Kandy,Kandy,Kandy,80.613952,7.282027
Bangalows,THE RANMIN LODGE,"""THE RUNMIN LODGE"",NO.12,GLENFALL LANE,NUWARA ELIYA",7,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,,
Bangalows,LANDS END,"649/13,SK TOWN,MEDDAWATTA,MATARA",3,B,Matara,Matara,Matara,80.570361,5.939156
Bangalows,COCOON HILLS,"21A,GLENFALL ROAD,NUWARA ELIYA",6,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,,
Bangalows,SERENITY VILLA,"NO.14/2,AMARASENA MAWATHA,HIKKADUWA",3,B,Galle,Hikkaduwa,Hikkaduwa,80.101597,6.139843
Bangalows,SPRING ACRE,"NO.495 A-4, KANDY ROAD, TOPPASS,NUWARA ELIYA",4,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,80.748221,6.990897
Bangalows,TEA HILLS,"LYND HEAVEN , FRUIT HILL, HATTON",4,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,80.590915,6.896988
Bangalows,THAMBARAVILA,"""THAMBARAVILA"",NO.44/5,5TH LANE,NAWALA ROAD,RAJAGIRIYA",2,A,Colombo,Kotte,Kotte,,
Bangalows,REEF EDGE RESORT,"NO 11C, BEACH ROAD , POLHENA ,MATARA",4,A,Matara,Matara,Matara,80.528325,5.936969
Bangalows,LANKAN BRUNCH,"NO.152 ,PALLIYAWATTA ROAD, HENDALA, WATTALA",5,A,Gampaha,Wattala,Wattala,,
Bangalows,THE OCEAN FRONT,"14, SELLAMUTTU AVENUE, COLOMBO 3",6,A,Colombo,Colombo,Colombo,79.8491,6.908351
Bangalows,RICHARDS,"NO. 08, SAMADHI MAWATHA, WELLANGOLLA ROAD, KURUNEGALA",5,B,Kurunegala,Kurunegala,Kurunegala,,
Bangalows,MOUNTAIN GEM,"237A, SRIMATH KUDA RATWATTA MW, KANDY.",4,A,Kandy,Kandy,Kandy,,
Bangalows,AVANA,"35, CHARLES PLACE, COLOMBO 3.",3,A,Colombo,Colombo,Colombo,,
Bangalows,JASMINE HOMES,"27/1, GREENFIELD PARK, MADIWELA, KOTTE",3,A,Colombo,Colombo,Colombo,79.92095,6.876324
